,STOCK,ANN,SVM,KNN,LR,acc_ANN_train,acc_ANN_test,acc_SVM_train,acc_SVM_test,acc_KNN_train,acc_KNN_test,acc_LR_train,acc_LR_test
0,MCK,0.0,-1.4422795773997468,-0.7833670128228708,-0.8138918366586706,0.5106815917082017,0.5243902453562108,0.901322482197355,0.5203252032520326,0.641912512716175,0.45121951219512196,0.5361139369277721,0.5121951219512195
1,MCHP,0.0,7.674576876926575e-07,-3.219056933522607,0.48453733053444215,0.5432350011892988,0.5731707314650217,0.6480162767039674,0.573170731707317,0.6215666327568667,0.4268292682926829,0.5391658189216684,0.5691056910569106
2,MCD,-0.03554464504122734,-0.6075544695936664,-3.887201670779168,-1.5590970272442892,0.5737538214617561,0.5813008142196066,0.6836215666327569,0.5650406504065041,0.6144455747711088,0.44308943089430897,0.5483214649033571,0.524390243902439
3,MA,-0.18721459805965424,-0.31469195214808227,-3.005465205195985,-1.441892640555733,0.5625635872415948,0.5609756087869163,0.7070193285859614,0.5894308943089431,0.6317395727365208,0.4105691056910569,0.5564598168870803,0.516260162601626
4,MAT,2.2116341590881348,5.78033304375952,2.196364451068063,3.735040277692915,0.5615462915458369,0.4674796757659292,0.6337741607324516,0.516260162601626,0.6398779247202442,0.45934959349593496,0.5228891149542217,0.5
5,MAS,-1.0645440816879272,-2.90582947952717,-1.7759983824799332,0.04917107744373081,0.5625635869232587,0.4918699191837776,0.6073245167853509,0.491869918699187,0.5961342828077314,0.4715447154471545,0.5310274669379451,0.5447154471544715
6,MAR,-2.671973466873169,0.0031060857676680625,-2.814144555342169e-07,-2.207771824695945,0.558494410279566,0.41869918820334645,0.6948118006103764,0.573170731707317,0.6439471007121058,0.573170731707317,0.5473041709053916,0.4186991869918699
7,MAC,2.500129222869873,1.9170862477584998,1.5736380711723297,1.8833951103141318,0.5778229959074139,0.5650406508910947,0.7009155645981688,0.5365853658536586,0.6174974567650051,0.5447154471544715,0.5157680569684638,0.5284552845528455
8,MAA,1.3546780347824097,2.1391033186999597,2.502365166746539,1.6268552302180064,0.5757884075173526,0.5243902436601438,0.71617497456765,0.5365853658536586,0.624618514750763,0.540650406504065,0.5452695829094608,0.5284552845528455
9,L,0.0771174356341362,0.07970464117166043,0.994480258788162,0.6826166337615812,0.5910478192149441,0.5203252039789185,0.5940996948118006,0.5284552845528455,0.6134282807731435,0.5487804878048781,0.5462868769074263,0.5365853658536586
10,LYB,0.0037392149679362774,-0.00950431199366285,0.11163322675694197,1.594761929960773,0.5361139439311663,0.5284552845528455,0.7822990844354019,0.4878048780487805,0.6327568667344863,0.4715447154471545,0.5330620549338759,0.508130081300813
11,LUV,1.046858310699463,0.22220386321656188,9.556532352116147e-08,2.5241417746593364,0.5595117046716618,0.5528455289398752,0.6602238046795524,0.524390243902439,0.6490335707019329,0.5284552845528455,0.5442522889114955,0.6056910569105691
12,LUK,0.9149514436721802,-1.093404839030363,-1.5653485888481473,0.9436060910895275,0.5971515813230377,0.5325203266570239,0.5818921668362157,0.483739837398374,0.6144455747711088,0.46747967479674796,0.5534079348931842,0.540650406504065
13,LRCX,0.0,-0.040629667396796,-3.9455842477225005,-0.7355263461805079,0.5584944094458286,0.5894308940666478,0.7100712105798576,0.5894308943089431,0.5798575788402849,0.4105691056910569,0.5483214649033571,0.5609756097560976
14,LOW,1.2287113666534424,-0.3024851502384949,0.2379893673594236,-0.19083304326159456,0.5483214711184904,0.5528455282129893,0.6449643947100712,0.524390243902439,0.6256358087487284,0.4878048780487805,0.5289928789420142,0.5284552845528455
15,LNT,0.0,5.500465259026461e-07,-5.965541958063211,0.06307956072053499,0.5513733545373197,0.5081300820276989,0.5768056968463886,0.508130081300813,0.6520854526958291,0.46747967479674796,0.5534079348931842,0.5121951219512195
16,LNC,3.354560136795044,0.9704007822622204,-0.2804919964712397,-0.007558780277969984,0.5666327651131553,0.4959349591072982,0.6459816887080366,0.540650406504065,0.6063072227873856,0.508130081300813,0.5452695829094608,0.491869918699187
17,LMT,-0.6744400858879089,0.07847253250112965,-2.8239321473337564,-3.2653694762359806,0.5645981760257864,0.5894308918859901,0.8870803662258393,0.6097560975609756,0.6480162767039674,0.3983739837398374,0.5401831129196337,0.4065040650406504
18,LLY,0.17555870115756989,1.348939914716368,-1.4989635283491778,-2.290283276993507,0.5452695878664087,0.5081300803316318,0.6703967446592065,0.532520325203252,0.6164801627670397,0.491869918699187,0.5422177009155646,0.4715447154471545
19,LLL,-2.127855062484741,-1.1511066844732094e-07,-1.1511066844732094e-07,-0.4266913338538679,0.5645981731152849,0.479674797959444,0.7792472024415056,0.5040650406504065,0.6368260427263479,0.5040650406504065,0.555442522889115,0.516260162601626
20,LKQ,-0.07532843202352524,-2.6218296288770233,-0.9837886971821083,0.4603552656524446,0.49847406629446445,0.5284552857643221,0.5940996948118006,0.5121951219512195,0.6113936927772126,0.483739837398374,0.5167853509664293,0.524390243902439
21,LH,0.14309385418891907,-3.0089200161698195,-2.7542762131126857,-0.18168844940039464,0.5676500574436459,0.5365853658536586,0.7517802644964394,0.4959349593495935,0.62970498474059,0.4796747967479675,0.5452695829094608,0.540650406504065
22,LEN,-5.382823467254639,-3.618131042152848,-1.7866121511646311,-5.2403221864174245,0.5645981739035458,0.4430894315000472,0.6388606307222787,0.491869918699187,0.5910478128179044,0.540650406504065,0.5198372329603256,0.483739837398374
23,LEG,-0.8246594667434692,0.12169058507108688,1.021358158494828,0.989466882596597,0.5412004123444717,0.48373983691378336,0.6032553407934893,0.508130081300813,0.595116988809766,0.5,0.5239064089521872,0.491869918699187
