,STOCK,ANN,SVM,KNN,LR,acc_ANN_train,acc_ANN_test,acc_SVM_train,acc_SVM_test,acc_KNN_train,acc_KNN_test,acc_LR_train,acc_LR_test
0,CLX,-2.273301362991333,1.10231604337932,1.366344233524312,-3.1970978193103288,0.597151579973899,0.479674797959444,0.6978636826042727,0.491869918699187,0.6174974567650051,0.5,0.5595116988809766,0.47560975609756095
1,CI,-3.0011250972747803,-1.3869999376207651,-3.252372214084591,-3.990622738416312,0.5483214720886576,0.4715447152048592,0.8097660223804679,0.540650406504065,0.624618514750763,0.44715447154471544,0.5361139369277721,0.4878048780487805
2,CINF,0.0,0.5132673764899718,0.5412239086069573,-1.2325403693512134,0.5503560585990199,0.5000000014537718,0.6276703967446592,0.524390243902439,0.6052899287894201,0.5121951219512195,0.5218718209562564,0.47560975609756095
3,CHTR,-2.2891030311584473,0.19857454707995287,-1.9425352876736075,0.3873273676992342,0.549338763782476,0.5081300822699942,0.9338758901322483,0.5203252032520326,0.6012207527975585,0.483739837398374,0.54323499491353,0.540650406504065
4,CHRW,0.8360530734062195,-0.4954565557790541,-1.7184940506209434,0.910715508284098,0.548321470512136,0.43902439000160715,0.6490335707019329,0.540650406504065,0.6103763987792472,0.4715447154471545,0.5483214649033571,0.4959349593495935
5,CHK,1.3010159730911255,-0.009636835430486095,2.347633601831658,3.8948674440409587,0.5645981738277515,0.4878048795025523,0.5859613428280773,0.4959349593495935,0.612410986775178,0.5284552845528455,0.5300101729399797,0.5772357723577236
6,CHD,0.43139883875846863,-0.4995128823597334,1.4309445724768814,-0.23078211346453414,0.5615462921521913,0.4959349603187747,0.6073245167853509,0.5365853658536586,0.6327568667344863,0.5121951219512195,0.5340793489318413,0.4959349593495935
7,CF,0.48954108357429504,0.2689790450240675,3.0808098303231386,0.6143831365103919,0.5666327620662241,0.524390243902439,0.6805696846388606,0.5487804878048781,0.6398779247202442,0.5609756097560976,0.5381485249237029,0.4796747967479675
8,CFG,2.3208134174346924,0.5645276182107393,0.11655984504282402,1.5231313025955198,0.5792682993157607,0.5487804878048781,0.5884146341463414,0.5426829268292683,0.6158536585365854,0.49390243902439024,0.5426829268292683,0.5365853658536586
9,CERN,-4.970361709594727,-2.187889351128736,-2.5611706740772227,-2.438074212414173,0.5696846458640249,0.46747967455445266,0.669379450661241,0.4959349593495935,0.6164801627670397,0.45934959349593496,0.5371312309257376,0.5365853658536586
10,CELG,-1.8637173175811768,-0.7329509367102806,0.7515541987736317,-1.0595923716682072,0.5442522945202743,0.44308943186349015,0.8494404883011191,0.524390243902439,0.6449643947100712,0.4959349593495935,0.5300101729399797,0.45121951219512196
11,CDNS,-0.051521122455596924,2.653544866312788e-07,2.653544866312788e-07,0.10002269729380328,0.5534079413508592,0.5609756112098694,0.5757884028484231,0.5934959349593496,0.6378433367243134,0.5934959349593496,0.513733468972533,0.5975609756097561
12,CCL,-4.612865924835205,0.6067248700972571,-3.006615441314068,-2.4701533341156714,0.5584944110071913,0.43902439024390244,0.6154628687690743,0.5609756097560976,0.6164801627670397,0.5121951219512195,0.5412004069175992,0.4796747967479675
13,CCI,-3.625053644180298,-3.748237265019588,-3.312328599789856,-2.789861101806607,0.5544252352881892,0.4878048780487805,0.6836215666327569,0.47560975609756095,0.6449643947100712,0.4715447154471545,0.54323499491353,0.516260162601626
14,CB,-1.6234898567199707,3.220196774888871e-07,-1.9243637103984665,-1.9349270039500048,0.5391658260614923,0.5121951234049913,0.7060020345879959,0.524390243902439,0.6032553407934893,0.483739837398374,0.5442522889114955,0.516260162601626
15,CBS,1.6942590475082397,0.22674092095269277,2.496936400497985,1.9009393175520455,0.5442522943990034,0.4796747977171487,0.6612410986775178,0.43902439024390244,0.6103763987792472,0.4796747967479675,0.5249237029501526,0.524390243902439
16,CBOE,0.20453815162181854,1.5891123007270253e-07,1.5891123007270253e-07,-2.441185367545405,0.5717192325259759,0.5975609756097561,0.6612410986775178,0.5934959349593496,0.6185147507629705,0.5934959349593496,0.5696846388606307,0.4186991869918699
17,CBG,-1.7393953800201416,-3.21063399170362,-1.8169836709229343,-1.2950513941336546,0.545269588487922,0.4146341475529399,0.5920651068158698,0.5284552845528455,0.6144455747711088,0.3983739837398374,0.5178026449643948,0.45528455284552843
18,CA,0.6376255750656128,0.7274026487298534,0.8530238515082932,0.8561466518974421,0.5442522964302909,0.5121951234049913,0.5564598168870803,0.5284552845528455,0.6266531027466938,0.5528455284552846,0.5269582909460834,0.5487804878048781
19,CAT,-2.531968355178833,-0.41079249681106006,-1.285207571461639,-1.5630945536370868,0.5584944088243152,0.5325203249609567,0.7446592065106816,0.4715447154471545,0.6134282807731435,0.45934959349593496,0.5239064089521872,0.44715447154471544
20,CAH,0.0,3.060897517017689,0.276917343133251,-0.30569339167591675,0.5208545338252554,0.5000000014537718,0.6907426246185148,0.508130081300813,0.6052899287894201,0.524390243902439,0.5361139369277721,0.5
21,CAG,2.8218324184417725,-0.5442955184376409,0.3466425782645966,0.6846744795501923,0.5686673469091117,0.532520322780299,0.6083418107833164,0.46747967479674796,0.6510681586978637,0.46747967479674796,0.5442522889114955,0.491869918699187
22,BXP,0.21452094614505768,-0.37892113292768226,3.6840360006905772,-0.6741620614613377,0.564598176632141,0.4878048790179617,0.7833163784333672,0.4796747967479675,0.624618514750763,0.4878048780487805,0.5412004069175992,0.47560975609756095
23,BWA,-3.2567789554595947,0.6936567856338599,-2.765245120362904,-1.5898927348043157,0.561546290651464,0.524390241479486,0.6897253306205493,0.47560975609756095,0.6317395727365208,0.4878048780487805,0.5116988809766022,0.540650406504065
24,BSX,1.157464861869812,-0.9879440444803688,-0.37666615301587597,-0.18266661758886818,0.5554425304382281,0.5284552843105502,0.5635808748728383,0.4878048780487805,0.6032553407934893,0.508130081300813,0.5401831129196337,0.5447154471544715
25,BRK.B,-2.038208246231079,-0.27514344305969635,-2.2344927054088406,-1.9659194377794986,0.5737538216739801,0.471544716658631,0.7304170905391658,0.5365853658536586,0.6174974567650051,0.42276422764227645,0.5676500508646999,0.46747967479674796
26,BMY,-2.4502031803131104,-2.9139191032852274,-2.90058663744034,0.5139380364908381,0.5280326266567034,0.556910566682738,0.6819571865443425,0.45121951219512196,0.6207951070336392,0.4146341463414634,0.54638124362895,0.556910569105691
27,BLL,-3.4959557056427,-2.842621557331563,-3.2206159425416745,-2.3623959740509304,0.5452695914287412,0.47560975585526566,0.5768056968463886,0.4715447154471545,0.62970498474059,0.491869918699187,0.5412004069175992,0.4878048780487805
28,BLK,-1.9196416139602661,0.4336839174861891,-1.955591212055567,-1.8744083077840301,0.5717192335870962,0.45528455284552843,0.9898270600203459,0.556910569105691,0.6073245167853509,0.4715447154471545,0.5361139369277721,0.45528455284552843
29,BK,-2.6607704162597656,-0.686178522244122,-3.4548682529594577,-3.4474807082427583,0.541200412647649,0.43495935080497244,0.5920651068158698,0.5487804878048781,0.6093591047812817,0.4796747967479675,0.5208545269582909,0.483739837398374
30,BIIB,1.9238181114196777,0.9654276155132323,0.6209521487774436,-0.9240562012375724,0.5595117047474562,0.5243902458408014,0.9979654120040692,0.540650406504065,0.5717192268565615,0.532520325203252,0.555442522889115,0.532520325203252
31,BHGE,-1.072189211845398,-3.3553624963964244,-2.5758488176271612,-0.1372166217005579,0.7731958744452172,0.5600000023841858,0.6804123711340206,0.44,0.6288659793814433,0.48,0.5567010309278351,0.48
32,BHF,-2.4310879707336426,-2.3038482682515267,-2.3038482682515267,-1.3806437574360462,0.6292134885037883,0.47826087474823,0.7191011235955056,0.4782608695652174,0.5730337078651685,0.4782608695652174,0.5842696629213483,0.43478260869565216
